ID,Product,Date,Seller,Price
41,"Apple Watch Ultra 2",2026-01-05,"Idealo Partner",689.99
42,"Apple Watch Ultra 2",2026-01-05,"Our company",839.99
43,"Apple Watch Ultra",2026-01-05,"Idealo Partner",779.95
44,"Apple Watch Ultra",2026-01-05,"Our company",689.99
45,"Garmin Epix™ Pro Gen 2",2026-01-05,"Idealo Partner",479.00
46,"Garmin Epix™ Pro Gen 2",2026-01-05,"Our company",699.99
47,"Garmin Venu 3S",2026-01-05,"Idealo Partner",329.90
48,"Garmin Venu 3S",2026-01-05,"Our company",389.99
49,"Garmin Venu 3",2026-01-05,"Idealo Partner",338.00
50,"Garmin Venu 3",2026-01-05,"Our company",409.99
51,"Garmin fēnix® 7X Pro",2026-01-05,"Idealo Partner",506.74
52,"Garmin fēnix® 7X Pro",2026-01-05,"Our company",699.99
53,"Garmin fēnix® 7 Pro",2026-01-05,"Idealo Partner",398.50
54,"Garmin fēnix® 7 Pro",2026-01-05,"Our company",619.99
55,"Garmin Forerunner 965",2026-01-05,"Idealo Partner",472.00
56,"Garmin Forerunner 965",2026-01-05,"Our company",559.99
57,"Garmin Forerunner 255",2026-01-05,"Idealo Partner",199.90
58,"Garmin Forerunner 255",2026-01-05,"Our company",239.99
59,"Withings ScanWatch 2",2026-01-05,"Idealo Partner",279.95
60,"Withings ScanWatch 2",2026-01-05,"Our company",129.99
