ID,Product,Date,Seller,Price
4,"Apple Watch Ultra 2",2025-12-31,Ebay,579.00
5,"Apple Watch Ultra 2",2025-12-31,"Our company",839.99
6,"Apple Watch Ultra",2025-12-31,Ebay,658.00
7,"Apple Watch Ultra",2025-12-31,"Our company",689.99
8,"Garmin Epix™ Pro Gen 2",2025-12-31,Ebay,759.00
9,"Garmin Epix™ Pro Gen 2",2025-12-31,"Our company",699.99
10,"Garmin Venu 3S",2025-12-31,Ebay,481.98
11,"Garmin Venu 3S",2025-12-31,"Our company",389.99
12,"Garmin Venu 3",2025-12-31,Ebay,359.99
13,"Garmin Venu 3",2025-12-31,"Our company",409.99
14,"Garmin fēnix® 7X Pro",2025-12-31,Ebay,520.00
15,"Garmin fēnix® 7X Pro",2025-12-31,"Our company",699.99
16,"Garmin fēnix® 7 Pro",2025-12-31,Ebay,549.90
17,"Garmin fēnix® 7 Pro",2025-12-31,"Our company",619.99
18,"Garmin Forerunner 965",2025-12-31,Ebay,911.90
19,"Garmin Forerunner 965",2025-12-31,"Our company",559.99
20,"Garmin Forerunner 255",2025-12-31,Ebay,219.50
21,"Garmin Forerunner 255",2025-12-31,"Our company",239.99
22,"Withings ScanWatch 2",2025-12-31,Ebay,358.00
23,"Withings ScanWatch 2",2025-12-31,"Our company",129.99
44,"Apple Watch Ultra 2",2025-12-30,Idealo,675.00
45,"Apple Watch Ultra 2",2025-12-30,"Our company",839.99
46,"Apple Watch Ultra",2025-12-30,Idealo,779.95
47,"Apple Watch Ultra",2025-12-30,"Our company",689.99
48,"Garmin Epix™ Pro Gen 2",2025-12-30,Idealo,490.44
49,"Garmin Epix™ Pro Gen 2",2025-12-30,"Our company",699.99
50,"Garmin Venu 3S",2025-12-30,Idealo,319.00
51,"Garmin Venu 3S",2025-12-30,"Our company",389.99
52,"Garmin Venu 3",2025-12-30,Idealo,299.99
53,"Garmin Venu 3",2025-12-30,"Our company",409.99
54,"Garmin fēnix® 7X Pro",2025-12-30,Idealo,508.47
55,"Garmin fēnix® 7X Pro",2025-12-30,"Our company",699.99
56,"Garmin fēnix® 7 Pro",2025-12-30,Idealo,468.50
57,"Garmin fēnix® 7 Pro",2025-12-30,"Our company",619.99
58,"Garmin Forerunner 965",2025-12-30,Idealo,469.95
59,"Garmin Forerunner 965",2025-12-30,"Our company",559.99
60,"Garmin Forerunner 255",2025-12-30,Idealo,199.90
61,"Garmin Forerunner 255",2025-12-30,"Our company",239.99
62,"Withings ScanWatch 2",2025-12-30,Idealo,273.99
63,"Withings ScanWatch 2",2025-12-30,"Our company",129.99
64,"Apple Watch Ultra 2",2026-01-01,Ebay,579.00
65,"Apple Watch Ultra 2",2026-01-01,"Our company",839.99
66,"Apple Watch Ultra",2026-01-01,Ebay,658.00
67,"Apple Watch Ultra",2026-01-01,"Our company",689.99
68,"Garmin Epix™ Pro Gen 2",2026-01-01,Ebay,759.00
69,"Garmin Epix™ Pro Gen 2",2026-01-01,"Our company",699.99
70,"Garmin Venu 3S",2026-01-01,Ebay,481.98
71,"Garmin Venu 3S",2026-01-01,"Our company",389.99
72,"Garmin Venu 3",2026-01-01,Ebay,359.99
73,"Garmin Venu 3",2026-01-01,"Our company",409.99
74,"Garmin fēnix® 7X Pro",2026-01-01,Ebay,520.00
75,"Garmin fēnix® 7X Pro",2026-01-01,"Our company",699.99
76,"Garmin fēnix® 7 Pro",2026-01-01,Ebay,549.90
77,"Garmin fēnix® 7 Pro",2026-01-01,"Our company",619.99
78,"Garmin Forerunner 965",2026-01-01,Ebay,911.90
79,"Garmin Forerunner 965",2026-01-01,"Our company",559.99
80,"Garmin Forerunner 255",2026-01-01,Ebay,219.50
81,"Garmin Forerunner 255",2026-01-01,"Our company",239.99
82,"Withings ScanWatch 2",2026-01-01,Ebay,358.00
83,"Withings ScanWatch 2",2026-01-01,"Our company",129.99
84,"Apple Watch Ultra 2",2026-01-05,Ebay,579.00
85,"Apple Watch Ultra 2",2026-01-05,"Our company",839.99
86,"Apple Watch Ultra",2026-01-05,Ebay,658.00
87,"Apple Watch Ultra",2026-01-05,"Our company",689.99
88,"Garmin Epix™ Pro Gen 2",2026-01-05,Ebay,759.00
89,"Garmin Epix™ Pro Gen 2",2026-01-05,"Our company",699.99
90,"Garmin Venu 3S",2026-01-05,Ebay,379.99
91,"Garmin Venu 3S",2026-01-05,"Our company",389.99
92,"Garmin Venu 3",2026-01-05,Ebay,359.99
93,"Garmin Venu 3",2026-01-05,"Our company",409.99
94,"Garmin fēnix® 7X Pro",2026-01-05,Ebay,520.00
95,"Garmin fēnix® 7X Pro",2026-01-05,"Our company",699.99
96,"Garmin fēnix® 7 Pro",2026-01-05,Ebay,1099.80
97,"Garmin fēnix® 7 Pro",2026-01-05,"Our company",619.99
98,"Garmin Forerunner 965",2026-01-05,Ebay,887.90
99,"Garmin Forerunner 965",2026-01-05,"Our company",559.99
100,"Garmin Forerunner 255",2026-01-05,Ebay,219.50
101,"Garmin Forerunner 255",2026-01-05,"Our company",239.99
102,"Withings ScanWatch 2",2026-01-05,Ebay,358.00
103,"Withings ScanWatch 2",2026-01-05,"Our company",129.99
184,"Apple Watch Ultra 2",2026-01-03,Idealo,689.99
185,"Apple Watch Ultra 2",2026-01-03,"Our company",839.99
186,"Apple Watch Ultra",2026-01-03,Idealo,779.95
187,"Apple Watch Ultra",2026-01-03,"Our company",689.99
188,"Garmin Epix™ Pro Gen 2",2026-01-03,Idealo,479.00
189,"Garmin Epix™ Pro Gen 2",2026-01-03,"Our company",699.99
